id_producto,nombre,precio,stock,id_categoria
10119,"Kuromi Y2K Top",14.99,2,2035
10198,"Hello Kitty Pajamas",25.99,1,2035
15218,"Dark mini skirt",15.65,3,2033
15219,"Black Leather Jacket",85.99,4,2033
15220,"Dark Velvet Choker",12.99,10,2033
15221,"Spiked Wristband",8.50,15,2033
15222,"Gothic Lace Dress",42.99,3,2033
15223,"Black Combat Boots",120.00,2,2033
15224,"Skull Print T-Shirt",18.99,6,2033
15225,"Fishnet Stockings",7.99,12,2033
15226,"Pentagram Necklace",14.50,8,2033
15227,"Studded Belt",19.99,5,2033
15228,"Black Corset Top",35.50,4,2033
15229,"Gothic Rose Choker",16.99,7,2033
15230,"Black Lace Umbrella",29.99,3,2033
15231,"Bat Wing Earrings",11.99,10,2033
15232,"Victorian Style Dress",95.99,2,2033
15233,"Gothic Candle Holder",24.99,6,2033
15234,"Spiked Choker",19.99,8,2033
15235,"Black Widow Hat",35.50,4,2033
15236,"Skeleton Hand Bracelet",14.50,10,2033
15237,"Gothic Cross Ring",9.99,15,2033
15238,"Raven Feather Necklace",17.99,6,2033
15239,"Black Velvet Cape",99.99,2,2033
15240,"Gothic Crossbody Bag",39.99,3,2033
15241,"Black Widow Spider Ring",13.99,10,2033
15242,"Dark Rose Bracelet",15.99,8,2033
15243,"Studded Leather Gloves",45.99,5,2033
15244,"Bat Embroidered Jacket",120.00,4,2033
15245,"Gothic Lace Gloves",29.99,6,2033
15246,"Spiked Leather Collar",19.99,12,2033
15247,"Raven Skull Pendant",27.99,7,2033
15248,"Victorian Lace Blouse",55.99,3,2033
15249,"Black Gothic Hat",39.99,4,2033
15250,"Silver Pentagram Earrings",9.99,15,2033
15251,"Dark Angel Wings",79.99,2,2033
15252,"Gothic Rose Ring",17.50,10,2033
15253,"Black Velvet Skirt",49.99,3,2033
15254,"Skull Print Leggings",25.99,6,2033
15255,"Gothic Lolita Dress",109.99,2,2033
15256,"Spiked Leather Boots",135.00,4,2033
15257,"Black Widow Brooch",12.99,12,2033
15258,"Gothic Candle Set",39.99,8,2033
15259,"Dark Crystal Necklace",29.99,5,2033
15260,"Gothic Spiderweb Earrings",8.99,20,2033
15261,"Black Lace Scarf",18.99,6,2033
15262,"Gothic Rose Hairpin",6.99,25,2033
15263,"Gothic Velvet Gloves",22.99,8,2033
15264,"Gothic Chain Belt",19.50,10,2033
15265,"Black Feathered Fascinator",35.99,3,2033
15266,"Gothic Moon Choker",14.99,15,2033
15267,"Black Silk Ribbon",5.99,25,2033
15268,"Gothic Veil",49.99,2,2033
15269,"Dark Rose Earrings",8.99,20,2033
15270,"Black Velvet Choker",11.99,12,2033
15271,"Gothic Thigh-High Boots",145.00,3,2033
15272,"Bat Wing Choker",13.99,8,2033
15273,"Gothic Leather Corset",79.99,2,2033
15274,"Gothic Silver Ring",19.99,10,2033
15275,"Black Lace Choker",16.99,7,2033
15276,"Gothic Candle Holder",24.99,6,2033
